 400.0 -100.   4.4186   5.6847   5.6389
 420.0  -22.   1.0250   1.0404   1.0415
 420.0  -21.   1.0202   1.0382   1.0388
 420.0  -20.   1.0162   1.0353   1.0368
 420.0  -19.   1.0131   1.0339   1.0350
 420.0  -18.   1.0094   1.0321   1.0334
 420.0  -17.   1.0054   1.0302   1.0320
 420.0  -16.   1.0010   1.0286   1.0309
 420.0  -15.   0.9976   1.0273   1.0298
 420.0  -14.   0.9927   1.0255   1.0281
 420.0  -13.   0.9867   1.0234   1.0268
 420.0  -12.   0.9807   1.0211   1.0252
 420.0  -11.   0.9737   1.0181   1.0224
 420.0  -10.   0.9650   1.0139   1.0182
 420.0   -9.   0.9557   1.0082   1.0132
 420.0   -8.   0.9442   1.0001   1.0054
 420.0   -7.   0.9307   0.9894   0.9946
 420.0   -6.   0.9151   0.9747   0.9802
 420.0   -5.   0.8969   0.9548   0.9604
 420.0   -4.   0.8760   0.9298   0.9345
 420.0   -3.   0.8521   0.8971   0.9013
 420.0   -2.   0.8252   0.8568   0.8596
 420.0   -1.   0.7945   0.8080   0.8092
 420.0    0.   0.7614   0.7505   0.7496
 420.0    1.   0.7943   0.8080   0.8091
 420.0    2.   0.8250   0.8566   0.8594
 420.0    3.   0.8516   0.8964   0.9006
 420.0    4.   0.8752   0.9286   0.9334
 420.0    5.   0.8955   0.9530   0.9586
 420.0    6.   0.9130   0.9720   0.9775
 420.0    7.   0.9278   0.9858   0.9910
 420.0    8.   0.9403   0.9953   1.0007
 420.0    9.   0.9507   1.0020   1.0070
 420.0   10.   0.9587   1.0064   1.0107
 420.0   11.   0.9661   1.0088   1.0132
 420.0   12.   0.9715   1.0101   1.0141
 420.0   13.   0.9758   1.0104   1.0137
 420.0   14.   0.9801   1.0104   1.0130
 420.0   15.   0.9830   1.0098   1.0125
 420.0   16.   0.9844   1.0088   1.0110
 420.0   17.   0.9865   1.0079   1.0096
 420.0   18.   0.9881   1.0069   1.0083
 420.0   19.   0.9892   1.0060   1.0070
 420.0   20.   0.9897   1.0043   1.0057
 420.0   21.   0.9910   1.0038   1.0044
 420.0   22.   0.9928   1.0026   1.0036
 420.0   23.   0.9925   1.0019   1.0028
 420.0   24.   0.9942   1.0011   1.0019
 420.0   25.   0.9951   1.0008   1.0014
 420.0   26.   0.9950   1.0003   1.0009
 420.0   27.   0.9970   1.0003   1.0001
 420.0   28.   0.9979   1.0000   0.9999
 420.0   29.   0.9979   1.0001   1.0000
 420.0   30.   1.0000   1.0000   1.0000
