 400.0 -100.   9.0729  11.6725  11.5785
 420.0  -29.   1.0398   1.0514   1.0513
 420.0  -28.   1.0199   1.0305   1.0303
 420.0  -27.   0.9993   1.0103   1.0102
 420.0  -26.   0.9781   0.9903   0.9909
 420.0  -25.   0.9591   0.9710   0.9717
 420.0  -24.   0.9396   0.9519   0.9526
 420.0  -23.   0.9196   0.9335   0.9343
 420.0  -22.   0.9016   0.9152   0.9161
 420.0  -21.   0.8820   0.8976   0.8981
 420.0  -20.   0.8633   0.8795   0.8808
 420.0  -19.   0.8454   0.8628   0.8637
 420.0  -18.   0.8271   0.8457   0.8468
 420.0  -17.   0.8087   0.8287   0.8301
 420.0  -16.   0.7901   0.8119   0.8137
 420.0  -15.   0.7724   0.7954   0.7974
 420.0  -14.   0.7537   0.7786   0.7806
 420.0  -13.   0.7343   0.7616   0.7641
 420.0  -12.   0.7151   0.7445   0.7475
 420.0  -11.   0.6953   0.7270   0.7301
 420.0  -10.   0.6746   0.7088   0.7118
 420.0   -9.   0.6537   0.6896   0.6930
 420.0   -8.   0.6316   0.6690   0.6726
 420.0   -7.   0.6086   0.6470   0.6504
 420.0   -6.   0.5846   0.6227   0.6262
 420.0   -5.   0.5595   0.5956   0.5991
 420.0   -4.   0.5333   0.5660   0.5689
 420.0   -3.   0.5059   0.5326   0.5351
 420.0   -2.   0.4775   0.4958   0.4974
 420.0   -1.   0.4478   0.4554   0.4561
 420.0    0.   0.4177   0.4117   0.4112
 420.0    1.   0.4477   0.4554   0.4560
 420.0    2.   0.4774   0.4957   0.4973
 420.0    3.   0.5056   0.5322   0.5347
 420.0    4.   0.5328   0.5653   0.5682
 420.0    5.   0.5586   0.5945   0.5980
 420.0    6.   0.5833   0.6210   0.6245
 420.0    7.   0.6067   0.6446   0.6480
 420.0    8.   0.6290   0.6658   0.6694
 420.0    9.   0.6503   0.6854   0.6888
 420.0   10.   0.6702   0.7035   0.7065
 420.0   11.   0.6899   0.7204   0.7235
 420.0   12.   0.7084   0.7365   0.7394
 420.0   13.   0.7262   0.7519   0.7544
 420.0   14.   0.7441   0.7671   0.7691
 420.0   15.   0.7611   0.7819   0.7840
 420.0   16.   0.7770   0.7963   0.7980
 420.0   17.   0.7935   0.8107   0.8121
 420.0   18.   0.8097   0.8251   0.8262
 420.0   19.   0.8255   0.8395   0.8403
 420.0   20.   0.8408   0.8532   0.8544
 420.0   21.   0.8568   0.8679   0.8684
 420.0   22.   0.8733   0.8819   0.8828
 420.0   23.   0.8880   0.8964   0.8972
 420.0   24.   0.9044   0.9107   0.9114
 420.0   25.   0.9202   0.9255   0.9261
 420.0   26.   0.9351   0.9401   0.9407
 420.0   27.   0.9520   0.9551   0.9550
 420.0   28.   0.9679   0.9699   0.9698
 420.0   29.   0.9829   0.9851   0.9850
 420.0   30.   1.0000   1.0000   1.0000
 420.0   31.   1.0160   1.0154   1.0147
 420.0   32.   1.0326   1.0304   1.0306
 420.0   33.   1.0497   1.0458   1.0455
 420.0   34.   1.0655   1.0618   1.0616
 420.0   35.   1.0838   1.0773   1.0765
 420.0   36.   1.1007   1.0932   1.0927
 420.0   37.   1.1182   1.1096   1.1085
 420.0   38.   1.1342   1.1256   1.1248
 420.0   39.   1.1527   1.1419   1.1406
 420.0   40.   1.1697   1.1577   1.1569
 420.0   41.   1.1873   1.1740   1.1726
 420.0   42.   1.2053   1.1907   1.1898
 420.0   43.   1.2239   1.2079   1.2065
 420.0   44.   1.2431   1.2244   1.2225
 420.0   45.   1.2604   1.2413   1.2401
 420.0   46.   1.2782   1.2588   1.2571
 420.0   47.   1.2992   1.2767   1.2745
 420.0   48.   1.3181   1.2938   1.2912
 420.0   49.   1.3347   1.3114   1.3083
 420.0   50.   1.3547   1.3294   1.3260
 420.0   51.   1.3753   1.3466   1.3441
 420.0   52.   1.3934   1.3641   1.3626
 420.0   53.   1.4152   1.3837   1.3804
 420.0   54.   1.4344   1.4022   1.3986
 420.0   55.   1.4541   1.4197   1.4173
 420.0   56.   1.4744   1.4392   1.4350
 420.0   57.   1.4953   1.4576   1.4546
 420.0   58.   1.5131   1.4765   1.4733
